customerID,tenure,Contract,InternetService,MonthlyCharges,churn_probability,risk_tier
4912-PIGUY,1,Month-to-month,Fiber optic,84.6,75.5,🔴 High risk
4884-ZTHVF,8,Month-to-month,Fiber optic,87.1,75.5,🔴 High risk
6969-MVBAI,9,Month-to-month,Fiber optic,90.1,75.4,🔴 High risk
3489-HHPFY,2,Month-to-month,Fiber optic,84.05,75.4,🔴 High risk
2077-MPJQO,7,Month-to-month,Fiber optic,75.4,75.2,🔴 High risk
3318-NMQXL,3,Month-to-month,Fiber optic,92.0,75.2,🔴 High risk
7439-DKZTW,1,Month-to-month,Fiber optic,80.55,75.1,🔴 High risk
9334-GWGOW,7,Month-to-month,Fiber optic,74.85,74.9,🔴 High risk
1452-VOQCH,1,Month-to-month,Fiber optic,75.1,74.6,🔴 High risk
4234-XTNEA,2,Month-to-month,Fiber optic,79.95,74.6,🔴 High risk
3422-GALYP,2,Month-to-month,Fiber optic,79.45,74.4,🔴 High risk
9290-SHCMB,13,Month-to-month,Fiber optic,96.85,74.2,🔴 High risk
7465-ZZRVX,1,Month-to-month,Fiber optic,70.35,74.1,🔴 High risk
5542-TBBWB,1,Month-to-month,Fiber optic,69.9,74.1,🔴 High risk
8622-ZLFKO,6,Month-to-month,Fiber optic,90.75,74.1,🔴 High risk
7321-VGNKU,2,Month-to-month,Fiber optic,70.35,74.1,🔴 High risk
1640-PLFMP,1,Month-to-month,Fiber optic,70.25,74.1,🔴 High risk
2789-HQBOU,3,Month-to-month,Fiber optic,80.35,74.0,🔴 High risk
4770-UEZOX,2,Month-to-month,Fiber optic,74.75,73.9,🔴 High risk
6357-JJPQT,3,Month-to-month,Fiber optic,80.5,73.9,🔴 High risk
2688-BHGOG,9,Month-to-month,Fiber optic,79.55,73.9,🔴 High risk
8161-QYMTT,7,Month-to-month,Fiber optic,94.1,73.6,🔴 High risk
3462-BJQQA,6,Month-to-month,Fiber optic,89.75,73.5,🔴 High risk
9717-QEBGU,2,Month-to-month,Fiber optic,70.3,73.5,🔴 High risk
2897-DOVND,2,Month-to-month,Fiber optic,69.8,73.5,🔴 High risk
7394-LWLYN,2,Month-to-month,Fiber optic,70.15,73.4,🔴 High risk
4482-EWFMI,2,Month-to-month,Fiber optic,69.7,73.4,🔴 High risk
3629-ZNKXA,17,Month-to-month,Fiber optic,101.8,73.3,🔴 High risk
4090-KPJIP,3,Month-to-month,Fiber optic,74.95,73.3,🔴 High risk
8739-XNIKG,5,Month-to-month,Fiber optic,84.0,73.3,🔴 High risk
3320-VEOYC,14,Month-to-month,Fiber optic,95.6,73.3,🔴 High risk
1016-DJTSV,8,Month-to-month,Fiber optic,69.7,73.2,🔴 High risk
6860-YRJZP,9,Month-to-month,Fiber optic,74.05,73.2,🔴 High risk
6583-KQJLK,15,Month-to-month,Fiber optic,94.65,73.0,🔴 High risk
9633-XQABV,3,Month-to-month,Fiber optic,70.25,72.9,🔴 High risk
4749-OJKQU,4,Month-to-month,Fiber optic,75.65,72.8,🔴 High risk
7245-NIIWQ,3,Month-to-month,Fiber optic,69.85,72.7,🔴 High risk
6077-BDPXA,3,Month-to-month,Fiber optic,70.15,72.7,🔴 High risk
5288-AHOUP,11,Month-to-month,Fiber optic,78.5,72.6,🔴 High risk
9402-ORRAH,15,Month-to-month,Fiber optic,91.5,72.5,🔴 High risk
1960-UYCNN,10,Month-to-month,Fiber optic,95.25,72.4,🔴 High risk
7225-CBZPL,17,Month-to-month,Fiber optic,94.8,72.4,🔴 High risk
7668-XCFYV,17,Month-to-month,Fiber optic,92.55,72.4,🔴 High risk
7206-PQBBZ,11,Month-to-month,Fiber optic,70.2,72.3,🔴 High risk
5956-YHHRX,21,Month-to-month,Fiber optic,104.35,72.2,🔴 High risk
8087-LGYHQ,9,Month-to-month,Fiber optic,94.05,72.2,🔴 High risk
1941-HOSAM,1,Month-to-month,Fiber optic,90.1,72.2,🔴 High risk
0018-NYROU,5,Month-to-month,Fiber optic,68.95,72.1,🔴 High risk
5399-ZIMKF,5,Month-to-month,Fiber optic,74.65,72.1,🔴 High risk
5935-FCCNB,17,Month-to-month,Fiber optic,94.2,71.8,🔴 High risk
3452-GWUIN,19,Month-to-month,Fiber optic,94.95,71.4,🔴 High risk
4273-MBHYA,1,Month-to-month,Fiber optic,89.35,71.4,🔴 High risk
2018-QKYGT,1,Month-to-month,Fiber optic,81.05,71.3,🔴 High risk
7363-QTBIW,9,Month-to-month,Fiber optic,79.75,71.3,🔴 High risk
2215-ZAFGX,9,Month-to-month,Fiber optic,85.5,71.2,🔴 High risk
4929-XIHVW,2,Month-to-month,Fiber optic,95.5,71.2,🔴 High risk
0840-DFEZH,7,Month-to-month,Fiber optic,75.35,71.1,🔴 High risk
8325-QRPZR,7,Month-to-month,Fiber optic,75.15,70.9,🔴 High risk
3453-RTHJQ,6,Month-to-month,Fiber optic,69.1,70.8,🔴 High risk
8775-ERLNB,1,Month-to-month,Fiber optic,74.3,70.7,🔴 High risk
1475-VWVDO,7,Month-to-month,Fiber optic,74.9,70.7,🔴 High risk
8107-KNCIM,14,Month-to-month,Fiber optic,75.1,70.6,🔴 High risk
1173-XZPYF,11,Month-to-month,Fiber optic,89.2,70.6,🔴 High risk
0365-BZUWY,17,Month-to-month,Fiber optic,102.55,70.4,🔴 High risk
5995-SNNEW,23,Month-to-month,Fiber optic,104.45,70.4,🔴 High risk
4291-SHSBH,7,Month-to-month,Fiber optic,69.55,70.3,🔴 High risk
8309-IEYJD,1,Month-to-month,Fiber optic,70.6,70.2,🔴 High risk
8541-QVFKM,8,Month-to-month,Fiber optic,73.5,70.2,🔴 High risk
3199-XGZCY,8,Month-to-month,Fiber optic,75.25,70.1,🔴 High risk
3191-CSNMG,3,Month-to-month,Fiber optic,80.7,70.0,🔴 High risk
3030-YDNRM,8,Month-to-month,Fiber optic,74.85,70.0,🔴 High risk
5429-LWCMV,12,Month-to-month,Fiber optic,89.15,69.9,🟡 Medium risk
7354-OIJLX,9,Month-to-month,Fiber optic,75.85,69.9,🟡 Medium risk
6407-UTSLV,2,Month-to-month,Fiber optic,83.8,69.9,🟡 Medium risk
3295-YVUSR,2,Month-to-month,Fiber optic,72.6,69.8,🟡 Medium risk
9094-AZPHK,15,Month-to-month,Fiber optic,100.15,69.8,🟡 Medium risk
7858-GTZSP,12,Month-to-month,Fiber optic,86.55,69.7,🟡 Medium risk
5928-QLDHB,9,Month-to-month,Fiber optic,76.25,69.7,🟡 Medium risk
1219-NNDDO,9,Month-to-month,Fiber optic,76.85,69.7,🟡 Medium risk
6986-IXNDM,14,Month-to-month,Fiber optic,92.9,69.7,🟡 Medium risk
5348-CAGXB,12,Month-to-month,Fiber optic,89.55,69.7,🟡 Medium risk
6339-YPSAH,9,Month-to-month,Fiber optic,73.8,69.6,🟡 Medium risk
0916-QOFDP,14,Month-to-month,Fiber optic,95.8,69.6,🟡 Medium risk
0508-OOLTO,2,Month-to-month,Fiber optic,71.65,69.5,🟡 Medium risk
5119-NZPTV,2,Month-to-month,Fiber optic,70.1,69.5,🟡 Medium risk
3292-PBZEJ,11,Month-to-month,Fiber optic,111.4,69.4,🟡 Medium risk
2876-GZYZC,13,Month-to-month,Fiber optic,85.95,69.3,🟡 Medium risk
7517-LDMPS,12,Month-to-month,Fiber optic,84.6,69.2,🟡 Medium risk
1226-IENZN,16,Month-to-month,Fiber optic,78.75,69.2,🟡 Medium risk
2081-VEYEH,3,Month-to-month,Fiber optic,107.95,69.1,🟡 Medium risk
3411-WLRSQ,3,Month-to-month,Fiber optic,74.6,69.0,🟡 Medium risk
9208-OLGAQ,18,Month-to-month,Fiber optic,84.95,69.0,🟡 Medium risk
5168-MSWXT,8,Month-to-month,Fiber optic,94.75,68.9,🟡 Medium risk
1393-IMKZG,1,Month-to-month,Fiber optic,95.85,68.8,🟡 Medium risk
8270-RKSAP,9,Month-to-month,Fiber optic,70.5,68.7,🟡 Medium risk
6507-ZJSUR,23,Month-to-month,Fiber optic,90.45,68.6,🟡 Medium risk
0455-XFASS,3,Month-to-month,Fiber optic,69.55,68.6,🟡 Medium risk
4559-UWIHT,14,Month-to-month,Fiber optic,82.65,68.5,🟡 Medium risk
6786-OBWQR,5,Month-to-month,Fiber optic,80.85,68.5,🟡 Medium risk
8875-AKBYH,20,Month-to-month,Fiber optic,84.35,68.4,🟡 Medium risk
4854-CIDCF,3,Month-to-month,Fiber optic,73.85,68.4,🟡 Medium risk
1508-DFXCU,12,Month-to-month,Fiber optic,81.45,68.3,🟡 Medium risk
3096-GKWEB,18,Month-to-month,Fiber optic,94.75,68.2,🟡 Medium risk
7398-SKNQZ,3,Month-to-month,Fiber optic,94.9,67.9,🟡 Medium risk
0581-BXBUB,4,Month-to-month,Fiber optic,72.75,67.8,🟡 Medium risk
7145-FEJWU,12,Month-to-month,Fiber optic,105.3,67.8,🟡 Medium risk
7392-YYPYJ,22,Month-to-month,Fiber optic,100.65,67.7,🟡 Medium risk
4612-SSVHJ,20,Month-to-month,Fiber optic,81.45,67.7,🟡 Medium risk
3420-ZDBMA,5,Month-to-month,Fiber optic,71.45,67.7,🟡 Medium risk
3317-VLGQT,14,Month-to-month,Fiber optic,78.1,67.7,🟡 Medium risk
0928-XUTSN,13,Month-to-month,Fiber optic,80.5,67.6,🟡 Medium risk
0480-BIXDE,19,Month-to-month,Fiber optic,96.8,67.6,🟡 Medium risk
6734-GMPVK,5,Month-to-month,Fiber optic,105.3,67.6,🟡 Medium risk
0650-BWOZN,18,Month-to-month,Fiber optic,73.55,67.3,🟡 Medium risk
2254-DLXRI,1,Month-to-month,Fiber optic,79.15,67.3,🟡 Medium risk
2984-AFWNC,3,Month-to-month,Fiber optic,95.4,67.3,🟡 Medium risk
3223-DWFIO,4,Month-to-month,Fiber optic,69.35,67.2,🟡 Medium risk
2107-FBPTK,30,Month-to-month,Fiber optic,104.1,67.1,🟡 Medium risk
6705-LXORM,5,Month-to-month,Fiber optic,70.05,67.1,🟡 Medium risk
2657-VPXTA,10,Month-to-month,Fiber optic,88.85,67.0,🟡 Medium risk
0439-IFYUN,18,Month-to-month,Fiber optic,74.7,67.0,🟡 Medium risk
1200-TUZHR,8,Month-to-month,Fiber optic,85.2,66.9,🟡 Medium risk
1251-STYSZ,4,Month-to-month,Fiber optic,80.25,66.9,🟡 Medium risk
5989-PGKJB,16,Month-to-month,Fiber optic,86.25,66.8,🟡 Medium risk
0258-NOKBL,3,Month-to-month,Fiber optic,90.4,66.6,🟡 Medium risk
7402-EYFXX,26,Month-to-month,Fiber optic,93.6,66.4,🟡 Medium risk
4566-NECEV,5,Month-to-month,Fiber optic,96.55,66.4,🟡 Medium risk
5032-MIYKT,1,Month-to-month,Fiber optic,70.7,66.3,🟡 Medium risk
9919-KNPOO,21,Month-to-month,Fiber optic,94.3,66.3,🟡 Medium risk
9617-INGJY,1,Month-to-month,Fiber optic,70.6,66.3,🟡 Medium risk
8313-NDOIA,24,Month-to-month,Fiber optic,104.15,66.3,🟡 Medium risk
7326-RIGQZ,6,Month-to-month,Fiber optic,69.8,66.3,🟡 Medium risk
8266-VBFQL,4,Month-to-month,Fiber optic,90.4,66.3,🟡 Medium risk
3427-GGZZI,19,Month-to-month,Fiber optic,89.1,66.1,🟡 Medium risk
0722-SVSFK,7,Month-to-month,Fiber optic,100.4,66.1,🟡 Medium risk
5043-TRZWM,1,Month-to-month,Fiber optic,75.55,66.1,🟡 Medium risk
9506-UXUSK,13,Month-to-month,Fiber optic,70.15,66.1,🟡 Medium risk
6856-RAURS,2,Month-to-month,Fiber optic,74.9,66.0,🟡 Medium risk
9840-EFJQB,1,Month-to-month,Fiber optic,74.35,66.0,🟡 Medium risk
3420-YJLQT,2,Month-to-month,Fiber optic,79.55,65.9,🟡 Medium risk
0225-ZORZP,3,Month-to-month,Fiber optic,84.3,65.8,🟡 Medium risk
5382-SOYZL,22,Month-to-month,Fiber optic,95.1,65.7,🟡 Medium risk
5091-HFAZW,2,Month-to-month,Fiber optic,91.15,65.6,🟡 Medium risk
4301-VVZKA,16,Month-to-month,Fiber optic,75.4,65.5,🟡 Medium risk
2800-VEQXM,3,Month-to-month,Fiber optic,74.75,65.5,🟡 Medium risk
0168-XZKBB,19,Month-to-month,Fiber optic,86.85,65.5,🟡 Medium risk
2674-MIAHT,4,Month-to-month,Fiber optic,80.3,65.5,🟡 Medium risk
2262-SLNVK,1,Month-to-month,Fiber optic,70.1,65.5,🟡 Medium risk
2985-FMWYF,23,Month-to-month,Fiber optic,93.5,65.4,🟡 Medium risk
2135-DQWAQ,5,Month-to-month,Fiber optic,85.3,65.4,🟡 Medium risk
7278-CKDNC,24,Month-to-month,Fiber optic,80.5,65.4,🟡 Medium risk
2080-GKCWQ,2,Month-to-month,Fiber optic,74.95,65.4,🟡 Medium risk
5701-YVSVF,11,Month-to-month,Fiber optic,82.9,65.4,🟡 Medium risk
3365-SAIGS,17,Month-to-month,Fiber optic,83.55,65.3,🟡 Medium risk
2038-OEQZH,4,Month-to-month,Fiber optic,86.05,65.2,🟡 Medium risk
1077-HUUJM,7,Month-to-month,Fiber optic,71.05,65.1,🟡 Medium risk
3370-HXOPH,3,Month-to-month,Fiber optic,76.1,65.0,🟡 Medium risk
8132-YPVBX,6,Month-to-month,Fiber optic,85.95,64.9,🟡 Medium risk
4029-HPFVY,3,Month-to-month,Fiber optic,70.3,64.9,🟡 Medium risk
4060-LDNLU,7,Month-to-month,Fiber optic,96.2,64.9,🟡 Medium risk
4813-HQMGZ,8,Month-to-month,Fiber optic,90.25,64.8,🟡 Medium risk
1658-TJVOA,6,Month-to-month,Fiber optic,74.1,64.8,🟡 Medium risk
5442-BHQNG,2,Month-to-month,Fiber optic,70.35,64.8,🟡 Medium risk
8035-PWSEV,6,Month-to-month,Fiber optic,89.25,64.7,🟡 Medium risk
4983-CCWMC,3,Month-to-month,Fiber optic,69.6,64.7,🟡 Medium risk
6435-SRWBJ,5,Month-to-month,Fiber optic,82.75,64.7,🟡 Medium risk
9696-RMYBA,5,Month-to-month,Fiber optic,80.1,64.7,🟡 Medium risk
7823-JSOAG,3,Month-to-month,Fiber optic,74.5,64.6,🟡 Medium risk
4480-QQRHC,8,Month-to-month,Fiber optic,74.05,64.6,🟡 Medium risk
4583-PARNH,16,Month-to-month,Fiber optic,91.55,64.5,🟡 Medium risk
4183-MYFRB,21,Month-to-month,Fiber optic,90.05,64.5,🟡 Medium risk
2905-KFQUV,2,Month-to-month,Fiber optic,70.4,64.4,🟡 Medium risk
2371-JQHZZ,24,Month-to-month,Fiber optic,93.0,64.4,🟡 Medium risk
6923-JHPMP,2,Month-to-month,Fiber optic,80.45,64.2,🟡 Medium risk
9360-OMDZZ,24,Month-to-month,Fiber optic,94.1,64.2,🟡 Medium risk
3496-LFSZU,4,Month-to-month,Fiber optic,70.5,64.2,🟡 Medium risk
4853-OITSN,5,Month-to-month,Fiber optic,89.15,64.1,🟡 Medium risk
6918-UMQCG,5,Month-to-month,Fiber optic,80.2,63.9,🟡 Medium risk
4450-DLLMH,2,Month-to-month,Fiber optic,71.3,63.7,🟡 Medium risk
1379-FRVEB,15,Month-to-month,Fiber optic,91.0,63.7,🟡 Medium risk
6851-WEFYX,35,Month-to-month,Fiber optic,100.8,63.7,🟡 Medium risk
8714-CTZJW,4,Month-to-month,Fiber optic,82.85,63.7,🟡 Medium risk
2439-LYPMQ,38,Month-to-month,Fiber optic,102.6,63.7,🟡 Medium risk
8800-JOOCF,12,Month-to-month,Fiber optic,84.05,63.6,🟡 Medium risk
9314-IJWSQ,14,Month-to-month,Fiber optic,84.8,63.6,🟡 Medium risk
0674-DGMAQ,32,Month-to-month,Fiber optic,93.5,63.6,🟡 Medium risk
9903-LYSAB,18,Month-to-month,Fiber optic,73.15,63.6,🟡 Medium risk
6267-DCFFZ,30,Month-to-month,Fiber optic,90.05,63.5,🟡 Medium risk
6198-ZFIOJ,5,Month-to-month,Fiber optic,75.6,63.4,🟡 Medium risk
4445-ZJNMU,9,Month-to-month,Fiber optic,99.3,63.3,🟡 Medium risk
4633-MKHYU,9,Month-to-month,Fiber optic,88.4,63.3,🟡 Medium risk
8617-ENBDS,3,Month-to-month,Fiber optic,73.6,63.3,🟡 Medium risk
9796-BPKIW,8,Month-to-month,Fiber optic,69.95,63.2,🟡 Medium risk
5937-EORGB,15,Month-to-month,Fiber optic,96.5,63.2,🟡 Medium risk
7801-KICAO,18,Month-to-month,Fiber optic,74.15,63.2,🟡 Medium risk
5628-FCGYG,21,Month-to-month,Fiber optic,84.1,63.1,🟡 Medium risk
9432-VOFYX,17,Month-to-month,Fiber optic,70.8,63.1,🟡 Medium risk
3904-UKFRE,4,Month-to-month,Fiber optic,80.1,63.0,🟡 Medium risk
0793-TWELN,4,Month-to-month,Fiber optic,80.15,62.9,🟡 Medium risk
8873-GLDMH,6,Month-to-month,Fiber optic,73.85,62.9,🟡 Medium risk
2325-NBPZG,3,Month-to-month,Fiber optic,74.55,62.9,🟡 Medium risk
7994-UYIVZ,8,Month-to-month,Fiber optic,85.65,62.9,🟡 Medium risk
1307-ATKGB,24,Month-to-month,Fiber optic,89.55,62.9,🟡 Medium risk
5692-ICXLW,31,Month-to-month,Fiber optic,90.7,62.9,🟡 Medium risk
3001-UNBTL,29,Month-to-month,Fiber optic,103.95,62.8,🟡 Medium risk
4298-OYIFC,15,Month-to-month,Fiber optic,103.45,62.8,🟡 Medium risk
5117-IFGPS,29,Month-to-month,Fiber optic,84.3,62.5,🟡 Medium risk
9355-NPPFS,26,Month-to-month,Fiber optic,78.8,62.5,🟡 Medium risk
9093-FPDLG,11,Month-to-month,Fiber optic,94.2,62.5,🟡 Medium risk
6030-REHUX,28,Month-to-month,Fiber optic,110.85,62.5,🟡 Medium risk
1689-YQBYY,12,Month-to-month,Fiber optic,76.6,62.4,🟡 Medium risk
5271-DBYSJ,11,Month-to-month,Fiber optic,79.15,62.3,🟡 Medium risk
0224-RLWWD,2,Month-to-month,DSL,44.3,62.3,🟡 Medium risk
1769-GRUIK,18,Month-to-month,Fiber optic,71.1,62.2,🟡 Medium risk
7924-GJZFI,25,Month-to-month,Fiber optic,69.3,62.2,🟡 Medium risk
3338-CVVEH,12,Month-to-month,Fiber optic,94.55,62.0,🟡 Medium risk
8630-FJLIB,18,Month-to-month,Fiber optic,69.8,61.9,🟡 Medium risk
5216-WASFJ,31,Month-to-month,Fiber optic,84.85,61.8,🟡 Medium risk
0958-YHXGP,7,Month-to-month,Fiber optic,69.9,61.8,🟡 Medium risk
4059-IIEBK,7,Month-to-month,Fiber optic,78.55,61.7,🟡 Medium risk
2603-HVKCG,31,Month-to-month,Fiber optic,101.4,61.7,🟡 Medium risk
9050-IKDZA,2,Month-to-month,Fiber optic,81.5,61.7,🟡 Medium risk
0420-HLGXF,39,Month-to-month,Fiber optic,99.75,61.6,🟡 Medium risk
2809-ZMYOQ,32,Month-to-month,Fiber optic,101.35,61.6,🟡 Medium risk
4123-DVHPH,9,Month-to-month,Fiber optic,88.05,61.6,🟡 Medium risk
5760-FXFVO,6,Month-to-month,Fiber optic,78.95,61.4,🟡 Medium risk
6137-NICCO,6,Month-to-month,Fiber optic,94.05,61.3,🟡 Medium risk
9121-PHQSR,16,Month-to-month,Fiber optic,85.05,61.3,🟡 Medium risk
6496-JDSSB,8,Month-to-month,Fiber optic,80.0,61.2,🟡 Medium risk
7351-KYHQH,7,Month-to-month,DSL,64.95,61.2,🟡 Medium risk
2424-WVHPL,1,Month-to-month,Fiber optic,74.7,61.1,🟡 Medium risk
5044-LRQAQ,7,Month-to-month,Fiber optic,69.2,61.1,🟡 Medium risk
9643-AVVWI,3,Month-to-month,Fiber optic,80.0,61.0,🟡 Medium risk
5599-HVLTW,14,Month-to-month,Fiber optic,80.35,61.0,🟡 Medium risk
0570-BFQHT,9,Month-to-month,Fiber optic,80.55,60.8,🟡 Medium risk
9365-SRSZE,27,Month-to-month,Fiber optic,70.55,60.8,🟡 Medium risk
0491-KAPQG,21,Month-to-month,Fiber optic,73.7,60.8,🟡 Medium risk
2959-FENLU,9,Month-to-month,Fiber optic,85.3,60.8,🟡 Medium risk
8584-KMVXD,8,Month-to-month,Fiber optic,75.6,60.7,🟡 Medium risk
1104-TNLZA,28,Month-to-month,Fiber optic,105.8,60.7,🟡 Medium risk
5652-MSDEY,10,Month-to-month,Fiber optic,75.75,60.6,🟡 Medium risk
5605-IYGFG,7,Month-to-month,Fiber optic,69.85,60.6,🟡 Medium risk
3855-ONCAR,4,Month-to-month,Fiber optic,78.9,60.5,🟡 Medium risk
8224-DWCKX,12,Month-to-month,Fiber optic,73.3,60.4,🟡 Medium risk
8118-TJAFG,9,Month-to-month,Fiber optic,101.5,60.4,🟡 Medium risk
1641-RQDAY,32,Month-to-month,Fiber optic,100.4,60.4,🟡 Medium risk
6116-RFVHN,34,Month-to-month,Fiber optic,100.45,60.4,🟡 Medium risk
9773-PEQBZ,10,Month-to-month,Fiber optic,79.85,60.4,🟡 Medium risk
5501-TVMGM,1,Month-to-month,DSL,55.25,60.3,🟡 Medium risk
9822-OAOVB,1,Month-to-month,DSL,55.45,60.3,🟡 Medium risk
2080-CAZNM,41,Month-to-month,Fiber optic,104.4,60.3,🟡 Medium risk
1078-TDCRN,3,Month-to-month,DSL,30.75,60.3,🟡 Medium risk
0315-LVCRK,11,Month-to-month,Fiber optic,84.8,60.3,🟡 Medium risk
9279-CJEOJ,21,Month-to-month,Fiber optic,95.4,60.2,🟡 Medium risk
5760-IFJOZ,3,Month-to-month,Fiber optic,107.95,60.2,🟡 Medium risk
8709-KRDVL,33,Month-to-month,Fiber optic,100.0,60.2,🟡 Medium risk
0674-EYYZV,1,Month-to-month,DSL,54.65,60.2,🟡 Medium risk
3966-HRMZA,3,Month-to-month,Fiber optic,75.05,60.0,🟡 Medium risk
5035-BVCXS,11,Month-to-month,Fiber optic,75.9,59.9,🟡 Medium risk
6778-YSNIH,2,Month-to-month,DSL,59.0,59.9,🟡 Medium risk
5899-OUVKV,31,Month-to-month,Fiber optic,94.5,59.9,🟡 Medium risk
4299-SIMNS,9,Month-to-month,Fiber optic,81.15,59.8,🟡 Medium risk
8356-WUAOJ,1,Month-to-month,DSL,45.0,59.8,🟡 Medium risk
5226-NOZFC,26,Month-to-month,Fiber optic,85.75,59.8,🟡 Medium risk
7855-DIWPO,21,Month-to-month,Fiber optic,68.65,59.8,🟡 Medium risk
9494-MRNYX,10,Month-to-month,Fiber optic,75.05,59.7,🟡 Medium risk
2740-TVLFN,1,Month-to-month,DSL,50.15,59.6,🟡 Medium risk
2920-RNCEZ,1,Month-to-month,Fiber optic,69.95,59.6,🟡 Medium risk
0248-IPDFW,1,Month-to-month,DSL,50.1,59.6,🟡 Medium risk
6215-NQCPY,15,Month-to-month,Fiber optic,99.7,59.5,🟡 Medium risk
6103-BOCOU,26,Month-to-month,Fiber optic,80.7,59.5,🟡 Medium risk
2754-SDJRD,8,Month-to-month,Fiber optic,100.15,59.5,🟡 Medium risk
2739-CACDQ,17,Month-to-month,Fiber optic,82.65,59.4,🟡 Medium risk
4536-PLEQY,12,Month-to-month,Fiber optic,85.05,59.4,🟡 Medium risk
9752-ZNQUT,1,Month-to-month,DSL,48.6,59.4,🟡 Medium risk
8990-ZXLSU,9,Month-to-month,Fiber optic,69.05,59.4,🟡 Medium risk
5405-ZMYXQ,8,Month-to-month,Fiber optic,74.6,59.4,🟡 Medium risk
1730-ZMAME,32,Month-to-month,Fiber optic,79.5,59.3,🟡 Medium risk
0848-ZGQIJ,16,Month-to-month,Fiber optic,94.65,59.3,🟡 Medium risk
8120-JDCAM,4,Month-to-month,Fiber optic,69.55,59.3,🟡 Medium risk
5879-SESNB,11,Month-to-month,Fiber optic,75.25,59.2,🟡 Medium risk
0411-EZJZE,3,Month-to-month,DSL,60.25,59.2,🟡 Medium risk
0620-DLSLK,13,Month-to-month,Fiber optic,81.9,59.2,🟡 Medium risk
0928-JMXNP,4,Month-to-month,DSL,29.9,59.2,🟡 Medium risk
4132-KALRO,4,Month-to-month,Fiber optic,100.85,59.1,🟡 Medium risk
6198-RTPMF,17,Month-to-month,Fiber optic,92.6,59.1,🟡 Medium risk
3703-KBKZP,16,Month-to-month,Fiber optic,74.45,59.1,🟡 Medium risk
6242-MBHPK,23,Month-to-month,Fiber optic,95.1,59.1,🟡 Medium risk
2187-PKZAY,12,Month-to-month,Fiber optic,79.95,59.0,🟡 Medium risk
1302-UHBDD,20,Month-to-month,Fiber optic,89.95,59.0,🟡 Medium risk
6833-JMZYP,15,Month-to-month,Fiber optic,94.0,59.0,🟡 Medium risk
7422-WNBTY,33,Month-to-month,Fiber optic,93.35,58.9,🟡 Medium risk
8705-WZCYL,1,Month-to-month,DSL,44.8,58.9,🟡 Medium risk
9588-OZDMQ,2,Month-to-month,DSL,45.0,58.9,🟡 Medium risk
4373-VVHQL,1,Month-to-month,DSL,44.75,58.9,🟡 Medium risk
9885-AIBVB,29,Month-to-month,Fiber optic,85.8,58.8,🟡 Medium risk
5022-KVDQT,27,Month-to-month,Fiber optic,81.3,58.8,🟡 Medium risk
9547-ITEFG,9,Month-to-month,Fiber optic,102.6,58.8,🟡 Medium risk
8818-DOPVL,46,Month-to-month,Fiber optic,104.45,58.7,🟡 Medium risk
1754-GKYPY,22,Month-to-month,Fiber optic,89.75,58.7,🟡 Medium risk
0196-JTUQI,9,Month-to-month,Fiber optic,75.2,58.7,🟡 Medium risk
9054-FOWNV,22,Month-to-month,Fiber optic,88.75,58.6,🟡 Medium risk
8778-LMWTJ,9,Month-to-month,Fiber optic,74.85,58.6,🟡 Medium risk
